logFC	AveExpr	t	P.Value	adj.P.Val	B	Gene.stable.ID	Gene.name	Gene.description
1.13028509889824	9.05852147513375	10.5552684542058	1.1242960829579e-08	8.80494989935263e-05	10.2272119115195	ENSMUSG00000000782	Tcf7	transcription factor 7, T cell specific [Source:MGI Symbol;Acc:MGI:98507]
-1.68213779307509	7.21386927331867	-10.2843658370254	1.6274148689481e-08	8.80494989935263e-05	9.90277300690859	ENSMUSG00000025017	Pik3ap1	phosphoinositide-3-kinase adaptor protein 1 [Source:MGI Symbol;Acc:MGI:1933177]
1.50298910083483	8.30941749877168	10.1640925768879	1.92233823579491e-08	8.80494989935263e-05	9.75835085907297	ENSMUSG00000045092	S1pr1	sphingosine-1-phosphate receptor 1 [Source:MGI Symbol;Acc:MGI:1096355]
1.14504485114139	10.1807571783007	9.81012008767069	3.16560772870848e-08	9.67487940173225e-05	9.08694280123926	ENSMUSG00000018899	Irf1	interferon regulatory factor 1 [Source:MGI Symbol;Acc:MGI:96590]
-3.57561817397262	5.53008923992624	-9.73591065929896	3.52044225374145e-08	9.67487940173225e-05	8.24221585455071	ENSMUSG00000042385	Gzmk	granzyme K [Source:MGI Symbol;Acc:MGI:1298232]
-2.546520234003	7.42634176727491	-9.2860151997139	6.79014736446771e-08	0.00012713043308487	8.48741224874415	ENSMUSG00000023132	Gzma	granzyme A [Source:MGI Symbol;Acc:MGI:109266]
1.57702594606749	7.1430609928358	9.25300177278836	7.13175982430279e-08	0.00012713043308487	8.48168500829487	ENSMUSG00000039384	Dusp10	dual specificity phosphatase 10 [Source:MGI Symbol;Acc:MGI:1927070]
1.56852380126911	5.71763731540828	9.22808532809044	7.40152437725755e-08	0.00012713043308487	8.37691723823215	ENSMUSG00000020297	Nsg2	neuron specific gene family member 2 [Source:MGI Symbol;Acc:MGI:1202070]
-0.996566441048856	8.53050212902119	-8.92816136597949	1.16367460162365e-07	0.00015950865248401	7.90807482284511	ENSMUSG00000029322	Plac8	placenta-specific 8 [Source:MGI Symbol;Acc:MGI:2445289]
-1.80282570144436	7.36392612159107	-8.88959696681801	1.23431776471247e-07	0.00015950865248401	7.94564043897438	ENSMUSG00000079227	Ccr5	chemokine (C-C motif) receptor 5 [Source:MGI Symbol;Acc:MGI:107182]
1.16553043725149	8.0963544219166	8.86745251095204	1.27690501224373e-07	0.00015950865248401	7.8851459636711	ENSMUSG00000091191	Gm17334	predicted gene, 17334 [Source:MGI Symbol;Acc:MGI:4936968]
0.963557332434297	8.8064325974499	8.80280666958905	1.41028742183169e-07	0.000161489662194911	7.6980050454308	ENSMUSG00000034349	Smc4	structural maintenance of chromosomes 4 [Source:MGI Symbol;Acc:MGI:1917349]
-0.991674066531417	9.34037570320899	-8.56870889498445	2.02939580269054e-07	0.00021158794416719	7.27766534867524	ENSMUSG00000075010	AW112010	expressed sequence AW112010 [Source:MGI Symbol;Acc:MGI:2147706]
-3.47911207928391	6.87020386585486	-8.5302598891168	2.15576102055211e-07	0.00021158794416719	7.35646158763811	ENSMUSG00000028965	Tnfrsf9	tumor necrosis factor receptor superfamily, member 9 [Source:MGI Symbol;Acc:MGI:1101059]
0.934073101769098	9.40913326550626	8.48306744976425	2.32223838664311e-07	0.000212732517805753	7.13440353710341	ENSMUSG00000053113	Socs3	suppressor of cytokine signaling 3 [Source:MGI Symbol;Acc:MGI:1201791]
1.58414386857199	5.77519000903366	8.43993043347245	2.48622281523806e-07	0.000213519923151163	7.1774774836223	ENSMUSG00000040270	Bach2	BTB and CNC homology, basic leucine zipper transcription factor 2 [Source:MGI Symbol;Acc:MGI:894679]
-1.8562225440711	7.62557531827614	-8.28333807397387	3.19115138070833e-07	0.000257938888954784	7.00521409585893	ENSMUSG00000030167	Klrc1	killer cell lectin-like receptor subfamily C, member 1 [Source:MGI Symbol;Acc:MGI:1336161]
-2.13442414993408	7.53278223778761	-8.23798752246523	3.43233430006072e-07	0.000261159047504001	6.94236881545937	ENSMUSG00000018930	Ccl4	chemokine (C-C motif) ligand 4 [Source:MGI Symbol;Acc:MGI:98261]
-0.947729230816333	7.96078980026346	-8.18688268400662	3.72717957131441e-07	0.000261159047504001	6.81824855400292	ENSMUSG00000006519	Cyba	cytochrome b-245, alpha polypeptide [Source:MGI Symbol;Acc:MGI:1316658]
-0.970589398477259	9.57610059888638	-8.17040844128766	3.82779057422315e-07	0.000261159047504001	6.6222061554177	ENSMUSG00000030830	Itgal	integrin alpha L [Source:MGI Symbol;Acc:MGI:96606]
1.19675759584783	7.62431556880784	8.14459151839284	3.99122334443201e-07	0.000261159047504001	6.77134497596398	ENSMUSG00000020034	Tcp11l2	t-complex 11 (mouse) like 2 [Source:MGI Symbol;Acc:MGI:2444679]
1.84428322242623	5.37531190930293	8.11584693258844	4.18182530550737e-07	0.000261193006922622	6.69159035980414	ENSMUSG00000050052	Tdrp	testis development related protein [Source:MGI Symbol;Acc:MGI:1919398]
-2.0036280198482	6.4646711885973	-8.07591205613517	4.46260145737132e-07	0.000264352353787992	6.676950876259	ENSMUSG00000015316	Slamf1	signaling lymphocytic activation molecule family member 1 [Source:MGI Symbol;Acc:MGI:1351314]
1.47938425837078	8.14784242458476	8.0380143652231	4.7473552495602e-07	0.000264352353787992	6.55932510742485	ENSMUSG00000027985	Lef1	lymphoid enhancer binding factor 1 [Source:MGI Symbol;Acc:MGI:96770]
0.728874223729878	10.4038273896812	8.01428985332635	4.93524902527473e-07	0.000264352353787992	6.18682879883751	ENSMUSG00000021728	Emb	embigin [Source:MGI Symbol;Acc:MGI:95321]
-1.42915872954187	9.05675112945306	-7.96973078539515	5.30951015652974e-07	0.000264352353787992	6.36024848685469	ENSMUSG00000112023	Lilrb4b	leukocyte immunoglobulin-like receptor, subfamily B, member 4B [Source:MGI Symbol;Acc:MGI:102702]
